100   500   10000   8   13
64	81	5
4	59	5
24	66	6
50	64	5
65	27	6
57	40	4
8	18	5
21	20	5
62	8	6
13	88	6
18	79	6
25	79	4
72	30	6
22	72	6
66	73	4
79	1	6
73	7	5
21	28	6
3	92	6
86	75	6
85	36	5
35	47	4
50	3	4
98	42	4
20	49	6
58	30	6
70	23	5
52	7	6
85	38	5
54	64	4
34	95	6
43	77	5
46	22	4
64	98	5
82	21	4
54	77	4
95	90	6
60	3	6
22	97	4
14	44	5
12	29	6
68	75	6
98	29	4
66	62	4
29	92	4
71	80	5
60	49	5
44	17	5
22	87	4
43	40	6
83	50	5
53	87	5
73	79	4
70	47	6
36	27	4
91	69	5
61	17	6
29	24	5
72	34	5
14	57	5
30	31	6
80	48	5
33	38	6
83	87	4
22	14	5
1	1	6
21	74	6
73	37	6
31	87	5
84	38	6
9	37	4
2	1	5
6	58	5
75	61	5
75	44	5
81	27	5
8	24	5
20	33	6
65	85	4
74	23	6
75	27	4
48	40	6
54	81	5
82	30	4
24	4	6
32	34	5
98	59	4
35	64	5
8	41	6
40	46	4
52	70	6
3	57	6
15	24	4
68	98	6
72	74	5
8	58	5
15	94	6
44	34	6
53	98	5
76	2	6
75	86	4
55	24	5
34	63	6
32	55	5
12	84	6
89	46	6
39	58	6
29	37	5
24	24	4
96	35	6
98	71	5
51	96	6
3	41	5
17	5	6
69	11	6
75	29	4
14	52	4
83	56	6
23	25	6
24	63	4
27	58	4
39	60	6
44	17	5
71	92	4
92	30	4
67	52	5
76	33	5
72	73	6
98	23	4
69	62	5
91	97	5
45	81	6
23	25	6
33	40	5
20	89	5
37	30	5
64	31	5
17	17	5
1	22	6
19	15	6
3	38	6
92	14	5
7	5	6
86	79	5
81	35	4
63	87	6
56	83	4
27	32	6
7	49	6
53	50	6
67	59	4
68	53	6
25	46	5
29	11	5
63	15	4
93	53	4
71	3	5
71	7	6
48	73	6
96	35	5
48	42	6
71	7	5
72	9	4
56	83	5
16	94	5
92	67	5
39	22	5
89	74	5
23	34	6
12	88	5
15	9	5
9	3	5
44	25	4
73	59	5
23	33	5
59	14	4
67	30	6
84	68	4
32	36	5
76	75	5
71	33	4
27	97	5
59	14	6
8	81	5
33	42	6
0	29	6
90	53	6
10	62	6
40	75	5
55	22	5
51	62	5
10	34	4
1	90	6
93	37	6
44	57	4
74	84	5
73	82	5
82	0	4
8	94	4
60	9	5
82	50	5
35	0	6
70	12	5
91	73	6
5	43	5
44	51	4
18	88	6
86	47	4
95	82	4
92	51	4
61	66	5
59	93	6
37	17	6
69	36	4
26	8	6
3	46	4
96	25	5
22	39	4
78	4	5
25	5	4
83	95	6
23	43	4
41	35	5
67	72	4
11	11	5
54	12	4
91	9	5
96	22	4
16	80	4
93	84	4
71	61	5
37	4	6
50	38	5
34	92	4
8	47	6
3	96	5
74	31	6
35	28	4
85	94	5
97	67	4
36	23	4
92	31	4
41	68	4
87	9	4
89	35	4
98	8	5
19	83	4
81	50	4
44	97	6
68	89	5
38	57	4
25	16	5
31	18	4
29	15	5
47	79	5
0	78	6
3	14	6
30	8	4
16	32	5
67	87	6
62	73	5
60	60	5
45	23	6
72	83	5
39	74	5
58	61	5
79	0	4
82	71	4
84	51	4
42	14	4
1	15	6
3	82	6
46	68	6
82	35	6
1	1	5
14	1	4
25	91	6
71	48	4
63	38	5
95	63	5
7	90	4
51	64	6
94	70	5
14	81	5
0	2	5
65	28	6
27	90	5
75	76	6
16	18	5
82	42	6
50	63	6
4	41	6
85	42	4
5	29	5
71	41	5
48	8	4
92	82	4
98	37	5
42	63	6
75	83	6
15	84	4
12	14	6
44	48	6
81	45	4
98	97	4
8	36	5
53	1	6
84	69	6
64	49	6
82	38	5
83	90	4
34	21	5
88	71	4
23	22	6
9	69	4
93	34	4
65	35	6
42	70	4
51	79	4
70	48	6
96	0	6
95	4	4
51	94	4
40	72	5
3	44	5
71	87	4
3	84	6
77	37	4
57	94	6
13	37	6
65	14	4
63	5	6
87	59	5
78	91	5
55	92	5
17	30	4
4	84	4
29	26	5
20	45	5
40	14	4
31	56	6
94	79	4
31	52	6
33	30	4
90	87	6
88	33	6
2	24	5
51	24	5
73	32	5
9	21	4
38	72	6
92	1	4
67	50	4
86	89	4
97	62	5
82	76	6
25	70	4
59	72	6
1	48	6
80	68	6
52	10	5
59	57	5
9	70	4
75	12	5
64	93	5
1	11	4
44	24	6
39	19	6
68	98	6
19	45	4
16	24	5
72	64	6
94	30	5
66	72	5
51	27	4
95	42	4
31	34	6
63	81	6
27	0	6
16	15	6
41	58	4
10	60	6
73	0	4
36	57	5
85	44	4
39	40	5
64	62	5
43	47	4
22	9	4
24	16	5
42	63	4
35	63	5
75	65	6
80	41	5
92	93	6
29	30	4
16	52	5
69	78	6
31	58	6
37	59	5
57	55	4
69	32	4
30	78	6
24	56	6
65	58	6
63	2	5
36	42	5
60	13	4
44	61	4
87	35	4
58	22	5
53	12	6
2	27	4
95	78	6
62	4	6
76	42	5
68	43	4
3	34	6
30	64	5
81	11	6
15	24	6
68	11	4
36	6	5
38	93	6
3	59	4
4	84	5
57	94	5
88	30	4
36	67	5
35	61	4
56	5	6
31	36	4
26	13	5
27	96	4
4	26	5
34	30	6
61	27	6
42	78	6
36	63	6
58	83	4
59	33	5
39	56	6
3	77	4
61	34	5
69	91	6
33	12	5
94	53	4
37	47	4
80	17	5
44	92	4
67	78	5
27	59	5
39	3	6
38	18	4
87	43	6
72	51	5
78	5	6
4	70	5
25	91	5
5	56	6
