1000	5000	10000	8	12
383	547	3		
676	752	7		
115	964	1		
265	658	4		
100	159	7		
247	536	7		
644	883	1		
705	881	1		
898	835	4		
788	883	3		
319	677	5		
623	901	1		
90	843	5		
987	290	5		
502	941	1		
4	249	10		
841	881	5		
637	797	6		
362	976	2		
491	869	9		
772	309	1		
26	824	4		
736	845	9		
559	576	2		
515	222	9		
596	486	10		
758	439	4		
493	613	2		
436	988	5		
455	819	7		
132	353	6		
24	567	4		
564	525	10		
501	668	1		
70	962	10		
966	612	4		
641	285	2		
363	310	7		
466	922	5		
368	219	3		
750	134	3		
58	952	8		
745	816	4		
304	182	8		
296	641	9		
737	772	2		
318	691	3		
972	819	9		
95	526	10		
2	145	7		
452	348	5		
528	186	4		
870	77	2		
440	458	8		
474	770	5		
774	570	1		
901	967	4		
736	989	10		
217	140	10		
263	976	3		
69	108	8		
168	256	1		
110	761	8		
67	934	8		
627	877	9		
403	624	2		
426	689	6		
818	658	9		
979	394	10		
854	447	6		
337	124	6		
55	474	2		
587	879	2		
187	848	2		
84	363	3		
366	746	9		
619	588	4		
704	204	1		
719	567	7		
689	998	2		
654	203	7		
170	164	8		
928	391	7		
430	11	4		
701	190	10		
702	566	7		
59	623	5		
876	106	7		
666	728	6		
241	491	10		
158	147	5		
319	71	6		
747	104	7		
884	34	2		
538	687	9		
559	858	8		
295	528	10		
347	667	9		
742	501	7		
584	923	3		
230	935	1		
930	727	6		
215	233	8		
228	718	8		
273	780	2		
880	662	1		
194	713	3		
710	510	9		
793	749	10		
610	976	5		
502	702	4		
748	732	6		
421	247	6		
914	492	7		
586	192	8		
662	588	4		
175	257	3		
805	321	6		
479	721	9		
318	477	5		
538	556	3		
466	436	9		
68	811	10		
362	918	5		
216	81	10		
979	473	10		
474	860	9		
718	261	3		
742	568	3		
868	333	4		
807	353	8		
834	286	6		
40	802	9		
508	876	2		
788	651	1		
650	219	8		
617	733	2		
358	909	8		
514	954	7		
641	602	10		
146	112	8		
561	167	2		
383	579	2		
896	933	10		
899	358	7		
753	677	6		
466	438	10		
86	700	5		
119	990	10		
504	753	4		
124	144	4		
913	185	4		
423	173	1		
893	514	9		
763	137	7		
223	38	2		
598	263	1		
777	722	2		
170	151	8		
573	235	1		
214	327	6		
272	997	7		
86	362	3		
713	655	4		
885	940	4		
786	586	2		
937	471	6		
159	621	7		
257	465	10		
790	632	5		
532	567	10		
306	109	4		
375	181	4		
584	77	8		
25	859	6		
939	166	3		
972	361	3		
128	139	4		
191	585	1		
189	928	4		
776	718	9		
712	57	4		
300	726	10		
678	145	6		
219	482	6		
580	590	6		
379	743	8		
758	583	7		
675	539	6		
858	156	8		
339	480	5		
480	378	5		
438	36	1		
231	309	7		
316	225	2		
471	80	8		
143	186	10		
711	312	5		
78	747	3		
935	929	8		
194	4	8		
299	193	4		
379	239	3		
278	633	7		
904	574	4		
240	179	8		
717	788	1		
400	480	10		
501	612	10		
647	509	9		
250	952	1		
420	570	5		
287	696	10		
568	516	8		
583	572	10		
971	534	3		
950	267	4		
969	557	5		
909	174	4		
797	302	5		
282	104	10		
282	407	9		
740	66	7		
449	525	7		
752	259	3		
586	302	4		
404	951	4		
727	518	10		
508	306	4		
66	902	9		
213	872	9		
262	939	6		
568	217	3		
135	284	9		
637	133	5		
864	767	8		
69	162	4		
804	522	7		
830	594	5		
195	807	8		
762	45	5		
324	766	5		
342	463	1		
558	703	10		
601	627	2		
365	599	4		
228	144	8		
687	459	1		
904	295	6		
949	15	5		
526	139	10		
879	678	9		
675	559	6		
368	345	6		
792	341	4		
56	652	1		
134	390	1		
825	344	4		
32	707	4		
833	168	8		
732	642	9		
224	162	7		
149	142	1		
483	914	8		
101	39	9		
172	171	6		
384	170	7		
684	260	6		
978	504	10		
571	363	8		
165	309	3		
836	539	7		
292	695	7		
256	599	2		
907	851	2		
493	70	7		
203	901	3		
348	543	4		
865	490	6		
269	944	1		
853	150	1		
742	124	4		
819	177	2		
886	234	6		
637	442	8		
56	321	6		
91	883	6		
878	937	1		
287	326	9		
506	155	2		
453	607	7		
737	43	3		
444	914	3		
403	636	7		
700	609	4		
118	983	6		
916	240	4		
268	186	1		
326	343	8		
651	562	9		
804	143	10		
431	621	10		
444	881	4		
916	33	7		
130	567	6		
543	159	1		
502	994	10		
711	213	9		
983	130	5		
790	831	2		
998	604	1		
652	969	4		
884	192	3		
363	336	2		
619	321	2		
72	186	2		
196	941	3		
859	297	9		
313	110	10		
799	171	4		
740	441	10		
749	900	10		
816	803	2		
230	729	4		
918	866	7		
818	122	9		
278	166	10		
330	90	2		
570	801	8		
427	538	9		
215	1	3		
690	339	7		
982	830	7		
538	277	8		
336	285	5		
917	97	10		
505	794	2		
521	360	10		
175	363	3		
219	535	1		
983	335	7		
676	886	9		
607	821	2		
972	440	8		
107	997	1		
410	87	3		
768	329	7		
961	119	9		
466	839	9		
678	136	3		
355	810	4		
817	186	4		
275	259	8		
775	585	10		
847	885	6		
128	108	2		
958	616	7		
801	327	5		
243	970	2		
570	204	4		
273	469	5		
311	469	4		
580	852	3		
272	678	4		
952	187	7		
571	724	3		
910	415	2		
845	599	7		
529	337	1		
798	108	1		
951	282	7		
373	501	10		
141	602	5		
21	803	6		
171	133	8		
68	144	3		
879	787	3		
242	230	1		
518	43	3		
241	935	8		
237	324	2		
651	960	3		
188	159	9		
436	859	6		
801	155	3		
852	820	4		
362	304	9		
404	14	3		
878	964	10		
105	915	6		
497	636	10		
734	967	2		
279	854	7		
419	414	5		
864	571	9		
748	975	7		
843	629	9		
417	935	4		
364	803	8		
557	9	10		
744	358	1		
909	636	9		
680	87	5		
610	302	2		
867	912	4		
733	214	1		
755	458	1		
191	752	4		
49	778	10		
963	271	5		
512	813	10		
825	373	8		
457	855	3		
446	700	4		
295	515	6		
969	851	3		
47	617	8		
245	570	6		
314	809	7		
227	67	9		
508	87	9		
127	765	2		
169	974	2		
161	861	9		
180	768	6		
541	226	1		
58	618	1		
731	219	9		
257	538	5		
682	22	8		
571	862	9		
933	943	5		
17	656	4		
230	162	1		
270	3	8		
929	774	9		
621	271	3		
794	145	10		
353	303	10		
69	27	3		
891	283	9		
538	240	5		
874	492	5		
151	263	2		
179	738	8		
402	58	7		
665	344	4		
120	745	1		
824	166	5		
504	886	1		
53	688	3		
584	582	5		
237	553	4		
617	917	1		
752	749	1		
424	741	1		
813	236	7		
503	538	5		
926	28	9		
233	791	4		
300	816	1		
637	466	6		
731	899	4		
492	251	1		
796	564	7		
253	821	6		
90	878	3		
960	588	2		
250	91	9		
199	948	4		
357	2	3		
520	2	5		
730	448	6		
271	582	7		
358	714	5		
69	776	2		
656	157	1		
435	40	4		
922	803	1		
249	602	2		
455	478	2		
145	511	5		
664	259	10		
660	376	10		
390	912	5		
239	299	4		
709	467	1		
321	339	5		
341	722	4		
555	109	7		
707	918	8		
941	47	2		
173	937	2		
527	710	4		
554	478	8		
473	578	3		
471	384	5		
